L4,L8,L16,p
1.0,1.0,1.0,0.0
0.8779852,0.8959621,0.89671405,4.2105263157894735
0.77466844,0.81061798,0.81354411,8.421052631578947
0.70034426,0.74767166,0.75338781,12.631578947368421
0.64382008,0.69825916,0.70682094,16.842105263157894
0.59892094,0.65781811,0.66904339,21.052631578947366
0.5620998,0.62375803,0.63738105,25.263157894736842
0.53116839,0.59446843,0.61020764,29.473684210526315
0.50469374,0.56887809,0.58646488,33.68421052631579
0.48169183,0.54623739,0.5654271,37.89473684210526
0.46146063,0.52600081,0.54657567,42.10526315789473
0.44348347,0.50775881,0.52952731,46.315789473684205
0.42737015,0.49119614,0.51399087,50.526315789473685
0.41281948,0.47606495,0.49974002,54.73684210526316
0.39959466,0.46216698,0.48659538,58.94736842105263
0.38750647,0.4493412,0.47441231,63.1578947368421
0.37640162,0.43745512,0.46307256,67.36842105263158
0.36615434,0.42639851,0.45247814,71.57894736842105
0.35666035,0.41607869,0.44254701,75.78947368421052
0.34783234,0.40641707,0.43320974,80.0
