sigma_cor,Q_cor,p
0.9999998807907104,0.44419750571250916,0.01
0.9915297627449036,0.3954833447933197,1.1
0.9667040109634399,0.3373729884624481,2.19
0.9238249063491821,0.27393200993537903,3.2800000000000002
0.8612672686576843,0.21075497567653656,4.37
0.7816264033317566,0.15448206663131714,5.46
0.6859341859817505,0.1033230870962143,6.550000000000001
0.5849794149398804,0.06786465644836426,7.640000000000001
0.5075987577438354,0.04566106200218201,8.73
0.4527454078197479,0.0357673205435276,9.82
0.39983806014060974,0.026142165064811707,10.91
0.3560543954372406,0.019619088619947433,12.0
